,text,label
0,"Georgia Tech was in no mood to celebrate this victory, not after a sickening injury to one of its most promising players. BJ Elder scored 23 points and the third-ranked Yellow Jackets started ",2
1,"After hearing rare boos from the home fans, Vince Carter didn #39;t want to talk about it. Carter had 15 points in his first game since demanding to be traded, but the Toronto Raptors lost their ",2
2,The company is also offering a free tool to convert photos stored in other formats to the new Digital Negative specification.,4
3,\An antibiotic used to treat leprosy and tuberculosis is showing promise as a therapy for Parkinson's disease.,1
4,A high-profile departure and a higher-profile purchase mean nothing ever gets boring at Google.,3
5,LONDON (Ticker) - The International Olympic Committee announced Tuesday it has begun its investigation of doping allegations against American gold medal-winning sprinter Marion Jones.,2
6,"Marathon world record holder Paula Radcliffe will compete in the ING New York City Marathon next month. Radcliffe says she is looking forward to taking part in the race, especially after her disappointment in Athens.",2
7,"_ At least three people were hospitalized and others suffered irritated eyes when someone released pepper spray at Toys R Us #39; flagship store during the busy holiday shopping weekend, fire and police spokesmen said.",3
8,"Reuters - Angered by President Bush's policy\in Iraq, a group of military families whose relatives died\there is targeting the president in new television ads to be\aired ahead of the Nov. 2 election.",1
9,"THE Bank of England left its key interest rate at 4.75 per cent yesterday, a decision that was widely expected, after a raft of data that showed the economy was cooling down.",3
10,"At 23, pitcher Richard Stahl knows there's still time to impress the Baltimore Orioles' front office. He just needs to stay on the mound long enough.",2
11,CBC SPORTS ONLINE - Point guard Avery Johnson retired Thursday as an active player to accept a coaching position with the Dallas Mavericks.,2
12,"Self-proclaimed sham Mark Martin vowed to leave racing at the top of his game. A late-season surge has put him there, back in the chase for that elusive NASCAR title.",2
13,AFP - British Prime Minister Tony Blair has backed India's quest for a permanent seat on the UN Security Council as well as having it join talks with G-8 countries on climate change and African development.,1
14," DETROIT (Reuters) - Ford Motor Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=F.N target=/stocks/quickinfo/fullquote""&gt;F.N&lt;/A&gt; has expanded its  recall of Escape and Mazda Tribute SUVs to nearly 600,000  vehicles, according to the automaker and the U.S. National  Highway Traffic Safety Administration.",3
15,"WEST PALM BEACH, Fla. - With memories of 2000 and its bitter fight over ballots still fresh, citizens began casting votes Monday in this pivotal battleground state...",1
16,Reuters - The family of a British hostage\threatened with execution in Iraq made a desperate appeal to\Prime Minister Tony Blair on Tuesday to meet kidnappers'\demands and save his life.,1
17,"Johnson Controls Inc. on Tuesday said its fourth-quarter profit rose 25 percent, helped by a lower tax rate and decreased miscellaneous net expenses.",3
18,"The Palestinian intifada marked the completion of its fourth consecutive year yesterday, and, not surprisingly, Palestinian street anger is directed these days at both the Israelis for their brutal occupation and at Yasser Arafat #39;s incompetent and often ",1
19,"Aramis Ramirez tied the club record with 14 total bases. His three homers gave the Cubs a franchise-record 213 this season, topping the 1998 club.",2
20,"After several missed calls by the line judge and chair umpire in Tuesday #39;s Jennifer Capriati-Serena Williams match that went against Williams, ESPN Research has compiled the top-10 controversies involving Serena and Venus Williams.",2
21," NEW YORK (Reuters) - Shares of Calpine Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CPN.N target=/stocks/quickinfo/fullquote""&gt;CPN.N&lt;/A&gt; fell 6  percent before the bell on Tuesday following reports that one  of its joint ventures received a default notice.",3
22,"WASHINGTON (AFP) - Revenge is on the mind of the Green Bay Packers as they enter a pivotal National Football League game Sunday at Philadelphia, where the Eagles made an amazing rally to oust them in last season #39;s playoffs.",2
23,Credit Suisse will on Monday announce a wide restructuring that will integrate its volatile Credit Suisse First Boston investment banking operation much more closely into the parent ,3
24,"WASHINGTON, Oct 2 (AFP) - US President George W. Bush said Saturday he would renew some of the huge tax cuts that form a cornerstone of his economic rejuvenation policy and chided Democratic challenger John Kerry for opposing the cuts.",3
25, JAKARTA (Reuters) - Indonesians voted on Monday in a  landmark election expected to remove President Megawati  Sukarnoputri and install an ex-general who has vowed firmer  leadership in fighting terror and boosting the economy.,1
26,Second seed Lleyton Hewitt beat Frenchman Michael Llodra 6-1 6-4 to reach the quarter-finals of the TD Waterhouse Cup on Thursday.,2
27,"QUESTION: What is the best approach to protecting me from ID theft and related activities? Will a software package work best, or must I go to a hardware firewall?",4
28,"LONDON, England -- One of the fiercest rivalries in world football could be set to one side under possible plans for Premier League Liverpool and Everton to share a ground.",2
29,"Islamabad, Nov. 16 (NNN): Pakistans leading newspaper, Dawn, finds the timing of the Indian announcement on reduction of troops in Kashmir as significance.",1
30,AP - Philadelphia Phillies closer Billy Wagner was suspended for two games Friday by major league baseball and fined an undisclosed amount after he was ejected against the New York Mets last weekend.,2
31,Reuters - Motorola Inc. said on Friday it plans\to invest  #36;90 million in a new research facility in Beijing as\the U.S. mobile phone maker fights to wrest back top position\in the domestic handset market.,4
32,"Justin Langer and Matthew Hayden finished the third day #39;s play at Adelaide as they had begun the first, by rumbling along to an unbeaten 57-run stand to take Australia one step closer to a crushing victory in the second Test against New Zealand.",2
33,California Insurance Commissioner John Garamendi filed a lawsuit Thursday against brokerage Universal Life Resources and a number of major insurance companies as part of an effort  quot;to break up a national industry-wide pattern of kickbacks and hidden fees ,3
34,"NEW ORLEANS - Stragglers streamed toward higher ground Wednesday on highways turned into one-way evacuation routes and pounding surf started eroding beaches as Hurricane Ivan roared toward the Gulf Coast with 135 mph wind.    Ivan could cause significant damage no matter where it strikes, as hurricane-force wind extended up to 105 miles out from the center...",1
35,"AFP - US software giant Microsoft said it had decided to attend next year's edition of CeBIT, the world's biggest high-tech and computer trade fair, after last month expressing doubts about the usefulness of participating in such events.",4
36,Tesco is rolling out radio barcode technology across its 98 Tesco Extra stores to track high-value items between its internal distribution centres and its outlets.,4
37,"Nokia and Vodafone have positioned themselves at the forefront of further developing Java for mobile devices, with the ultimate aim being more consistent platforms for developers across various handsets.",4
38,Decision exempts Vonage from Minnesota state telephony laws.,4
39,A special version of Macromedia #39;s Contribute Web publishing desktop application is designed to automate and simplify the creation and modification of EBay Stores.,4
40,BROCKTON -- A new era? Nah. Just the same old Brockton coached by a different Colombo.,2
41,": Government troops and separatist rebels in Aceh clashed Monday as voters in the province took part in presidential elections. Two soldiers and three guerillas died in the fighting, the military said.",1
42,"Mayor Anthony Williams, pushing for baseball on the Anacostia, has canceled a meeting Monday with the D.C. Council he must sway.",2
43,Apple Computer Inc. reported yesterday that profit in its fourth fiscal quarter jumped 140 percent from the comparable quarter last year.,4
44,"Reigning Tour de France champion Lance Armstrong has hinted that he may not contest the cycling race in 2005. The six-time Tour winner has not raced since his victory in Paris earlier in the year, choosing not to compete at the Athens Olympics.",2
45,"Sergio Garcia shot 4-under-par 67 in the wind Thursday to share the first-round lead at the Volvo Masters with fellow Spaniard Jose Manuel Lara, who was stung by a bee early in his round.",2
46,Germany beat Sweden 1-0 in a repeat of the 2003 World Cup final to take Olympic bronze in the women #39;s soccer tournament on Thursday.,2
47,Group seeks to make Web access for mobile device users as easy as it is for desktop users.,4
48,"Blaming recent run-ups in the prices of natural gas and oil, Massachusetts Electric Co. sought permission yesterday to raise rates by nearly 10 percent for 425,000 of its customers starting in November.",3
49," European Competition Commissioner Mario Monti will hold a  news conference on Tuesday afternoon on the long-running  antitrust case against Coca-Cola, a European Union spokeswoman  said.",3
50,"Craftspeople could soon overtake farmers as the biggest contributors to the rural economy, a report says.",1
51,Todays semi-finals of the Thailand Open will feature two dream matches: Andy Roddick versus Marat Safin and the long-time awaited clash between Roger Federer and Paradorn Srichaphan.,2
52, NEW YORK (Reuters) - Curt Schilling won his major league  leading 18th game and David Ortiz hit his 35th home run as the  Boston Red Sox edged the Texas Rangers 6-5 in American League  at Fenway Park Sunday.,2
53,"What does Larry Bird think of Ron Artest's recent sabbatical? He's not saying. But given that this was a guy who came out of traction to play a game, we can pretty much assume what he has said behind closed doors.",2
54,"Hall of Famer Sparky Anderson once said,  quot;My idea of managing is giving the ball to Tom Seaver and sitting down and watching him work.",2
55,Earnings from hot new issue Jamdat Mobile don't live up to analysts' expectations.,3
56,"For about eight hours, an  quot;extreme geomagnetic storm quot; raged in the upper atmosphere, as high-energy particles emitted by the sun three days ago swept over Earth.",4
