,text,label
0, Ichthyococcus ovatus is a lightfish of the genus Ichthyococcus.,10
1, Simunion Multirotor (Du-Xuan-Yi Fei-Xing-Qi 多旋翼飞行器) is a Chinese micro air vehicle (MAV) develoed by Xi'an Simunion Simulation Technology Co. Ltd. (Simunion 西安希盟信仿真科技有限公司). Simunion multirotor can be easily folded and expanded for rapid deployment. Simunion has been a major provider of subsystems deployed on UAVs and software of subsystems of UAVs.,6
2, Tony Fox Sales (born September 26 1951) is an American rock musician. A bass guitarist Sales and his brother Hunt Sales played with Todd Rundgren and Iggy Pop and Tin Machine with David Bowie.,3
3, Mansfield Armory is a historic National Guard armory located in Mansfield Pennsylvania in Tioga County. It was built in 1938-1939 for the 108th Ambulance Company 103rd Medical Regiment of the Pennsylvania National Guard. The utilitarian brick 94-by-104-foot (29 by 32 m) building has a center drill hall rising above the surrounding one story section.It was listed on the National Register of Historic Places in 1991.,7
4, Illugi Gunnarsson (born 26 August 1967) is an Icelandic politician and member of Althing (Icelands's parliament) and the Minister of Education Science and Culture.,5
5, Ramavandi-ye Sofla (Persian: رماوندي سفلي‎ also Romanized as Ramāvandī-ye Soflá; also known as Ramāvand-e Soflá) is a village in Rumeshkhan-e Gharbi Rural District Rumeshkhan District Kuhdasht County Lorestan Province Iran. At the 2006 census its population was 582 in 99 families.,9
6, Hirasea mirabilis is a species of small air-breathing land snail a terrestrial pulmonate gastropod mollusk in the family Endodontidae.This is an endangered species.,10
7, Forum The Shopping Mall (Chinese: 福临购物中心 Tamil: பாரம் அங்காடி ) is a shopping mall on Singapore's main shopping belt Orchard Road. It was built on the site of the Singapura Forum Hotel.Along the upper stretch of Orchard Road and a five-minute walk from Orchard MRT station the mall is anchored by Toys R Us and Julia Gabriel Centre.,7
8, The Zygopteridales is an extinct order of ferns or fern-like plants the grew primarily in the Carboniferous.,11
9, Chloroclystis gymnoscelides is a moth in the Geometridae family. It is found in South Africa.,10
10, Monro Muffler Brake is an automotive service company focusing on muffler and brake repair. Monro Muffler is named for Monroe County New York without the e.,1
11, Krrb (pronounced 'curb') is a hyperlocal classified advertising website that allows individuals and businesses to sell vintage antique secondhand handmade or locally sourced items including artisanal foods art design and collectables. Members of the website can also list real estate housing events services jobs and community notices.,1
12, The golomyankas (lit. naked) or Baikal oilfish are two species of peculiar sculpin-like fishes endemic to Lake Baikal in Russia.,10
13, Lawrence Larry Abney (born May 19 1977) is an American former professional basketball player. Born in Nyack New York he was nicknamed Birdman throughout his career for his athleticism.,4
